CustomerID,TotalSpending,CustomerValueClass,prediction,probability
12355,459.4,0,0,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.8334989294420689"",""0.16650107055793106""]}"
12358,1168.0599999999997,1,0,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.7564955846491315"",""0.24350441535086859""]}"
12360,2662.0599999999986,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.09793238539163589"",""0.902067614608364""]}"
12370,3264.7399999999984,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.09206467204987248"",""0.9079353279501275""]}"
12372,1298.0400000000004,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.102190670966155"",""0.8978093290338449""]}"
12373,364.59999999999997,0,0,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.849061881685425"",""0.15093811831457493""]}"
12374,742.93,1,0,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.5141387866891671"",""0.485861213310833""]}"
12377,1628.1200000000001,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.1457953082265348"",""0.8542046917734651""]}"
12380,2724.8099999999995,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.06025535452089231"",""0.9397446454791077""]}"
12386,401.90000000000003,0,0,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.6483727966121205"",""0.3516272033878794""]}"
12394,891.4000000000001,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.32135023797538836"",""0.6786497620246117""]}"
12402,225.60000000000002,0,0,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.8611197865371362"",""0.13888021346286375""]}"
12403,427.70000000000005,0,0,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.7860886475528277"",""0.21391135244717227""]}"
12407,1708.1199999999997,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.06430231839139021"",""0.9356976816086098""]}"
12412,1226.88,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.08920147052338132"",""0.9107985294766187""]}"
12421,807.0400000000003,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.09385053231312243"",""0.9061494676868775""]}"
12425,777.2,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.25417750629198615"",""0.7458224937080139""]}"
12430,256.40000000000003,0,0,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.889062077712483"",""0.11093792228751699""]}"
12437,4951.409999999995,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.0666941142757664"",""0.9333058857242337""]}"
12438,2906.8499999999995,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.14750583885236623"",""0.8524941611476338""]}"
12444,5005.46,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.049550841717606084"",""0.950449158282394""]}"
12446,1002.3099999999998,1,0,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.5534851661980267"",""0.44651483380197327""]}"
12452,430.57000000000005,0,0,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.7467327522810039"",""0.25326724771899606""]}"
12473,3928.0499999999984,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.06670831902775096"",""0.9332916809722491""]}"
12483,2484.980000000001,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.06889886000119975"",""0.9311011399988003""]}"
12492,263.21,0,0,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.8687299592657306"",""0.1312700407342694""]}"
12514,1017.6800000000001,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.26916472980689404"",""0.7308352701931059""]}"
12516,1312.0600000000002,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.2789202293157461"",""0.721079770684254""]}"
12518,2056.889999999999,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.09059182681624522"",""0.9094081731837548""]}"
12531,125.22000000000001,0,0,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.8881498155665126"",""0.11185018443348743""]}"
12541,981.1800000000002,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.08213625316136618"",""0.9178637468386338""]}"
12545,1000.3899999999999,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.2240594987480951"",""0.775940501251905""]}"
12550,964.8299999999995,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.243660575300514"",""0.756339424699486""]}"
12562,3781.7400000000025,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.06654725310338265"",""0.9334527468966174""]}"
12564,456.8999999999999,0,0,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.8854392097683089"",""0.11456079023169119""]}"
12576,1315.8299999999997,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.13989390992488235"",""0.8601060900751176""]}"
12583,7281.379999999993,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.06799779780451386"",""0.9320022021954861""]}"
12588,214.89999999999998,0,0,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.8787450014163366"",""0.12125499858366337""]}"
12594,3338.2199999999984,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.0690361729123583"",""0.9309638270876417""]}"
12599,1032.5800000000004,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.11842507664927965"",""0.8815749233507203""]}"
12602,153.12,0,0,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.8969883921797464"",""0.10301160782025373""]}"
12604,254.17999999999995,0,0,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.8650489296317175"",""0.13495107036828247""]}"
12612,704.0400000000001,1,0,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.7193426131631652"",""0.2806573868368348""]}"
12613,3344.379999999998,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.06656145785536723"",""0.9334385421446327""]}"
12616,713.3000000000002,1,0,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.8258577996999059"",""0.17414220030009409""]}"
12621,13689.67,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.06801200255649842"",""0.9319879974435016""]}"
12622,180.10000000000002,0,0,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.8767491344913598"",""0.12325086550864012""]}"
12624,641.1300000000001,0,0,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.5043810807465913"",""0.4956189192534087""]}"
12626,6620.479999999996,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.06656145785536723"",""0.9334385421446327""]}"
12633,2163.9799999999996,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.07293505937629054"",""0.9270649406237095""]}"
12639,486.09999999999997,0,0,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.8897335889249989"",""0.11026641107500111""]}"
12644,477.9099999999999,0,0,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.8524632687895805"",""0.14753673121041963""]}"
12645,1775.1800000000005,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.07308192054867427"",""0.9269180794513258""]}"
12656,4051.170000000002,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.06799779780451386"",""0.9320022021954861""]}"
12660,245.1,0,0,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.884793267039875"",""0.11520673296012499""]}"
12676,1331.3900000000006,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.09067853887510655"",""0.9093214611248934""]}"
12685,2863.08,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.07977541979429885"",""0.9202245802057011""]}"
12689,1247.6099999999994,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.20801330141272592"",""0.7919866985872741""]}"
12691,1035.8,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.2537101180337362"",""0.7462898819662638""]}"
12695,582.1000000000001,0,0,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.6756813619350028"",""0.3243186380649972""]}"
12705,6868.290000000003,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.07978962454628341"",""0.9202103754537165""]}"
12708,2712.9100000000008,1,1,"{""type"":""1"",""size"":null,""indices"":null,""values"":[""0.08921251647141765"",""0.9107874835285824""]}"
